m_id,c_id,m_name,m_price,m_description
1,1,아메리카노,1800,진한 에스프레소에 물과 얼음을 더한 고소하고 쌉쌀한 음료
2,1,에스프레소,2500,비터홀릭 원두의 풍성한 크레마가 느껴지는 진한 음료
3,1,카페라떼,4000,진한 에스프레소에 우유를 더해 부드럽게 마시는 음료
4,1,카푸치노,4000,풍부한 거품의 스팀밀크와 향긋한 시나몬 향의 음료
5,1,바닐라라떼,4300,바닐라 향과 부드러운 카페라떼의 조화
6,1,헤이즐넛라떼,4300,헤이즐넛 향과 부드러운 카페라떼의 조화
7,1,카라멜마끼아또,4300,달콤한 카라멜과 부드러운 카페라떼의 조화
8,1,카페모카,4500,달콤한 초콜릿과 부드러운 카페라떼의 조화
9,1,연유라떼,4800,달콤한 연유와 부드러운 카페라떼의 조화
10,1,흑당카페라떼,4800,달콤 쌉쌀한 흑당과 부드러운 카페라떼의 조화
11,1,돌체라떼,4800,달콤한 연유와 부드러운 카페라떼의 조화
12,1,아인슈페너,5200,카페라떼와 컴포즈 시그니처 크림이 어우러지는 음료
13,1,달고나라떼,5000,달콤한 카페라떼 위에 달고나를 올린 음료
14,1,꿀아메리카노,3300,꿀이 들어간 달콤한 아메리카노
15,1,더치아메리카노,4300,찬물로 추출하여 풍부한 향을 가진 더치 아메리카노
16,1,더치라떼,4800,찬물로 추출한 더치와 부드러운 우유의 조화
17,1,디카페인 아메리카노,3500,콜롬비아 디카페인 원두로 만든 아메리카노
18,1,디카페인 카페라떼,4900,디카페인 원두의 부드러운 향미에 우유를 더한 음료
19,1,디카페인 바닐라라떼,5300,디카페인 원두에 달콤한 바닐라 시럽을 더한 라떼
20,1,디카페인 연유라떼,5800,디카페인 원두와 달콤한 연유가 조화로운 라떼
21,2,곡물라떼,4300,풍부한 곡물과 우유가 어우러져 고소한 곡물라떼
22,2,고구마라떼,4500,자색 고구마와 우유가 어우러진 달콤한 고구마라떼
23,2,녹차라떼,4500,진한 말차와 우유가 어우러진 부드러운 녹차라떼
24,2,초코라떼,4500,진한 초콜릿과 우유가 어우러진 달콤한 초코라떼
25,2,쿠키앤크림라떼,4500,초코 음료에 초코쿠키 토핑이 더해진 라떼
26,2,딸기 스무디,4800,딸기의 과육향이 풍부하게 느껴지는 블렌딩 음료
27,2,망고 스무디,4800,망고의 과육향이 풍부하게 느껴지는 블렌딩 음료
28,2,블루베리 스무디,4800,블루베리의 과육향이 풍부하게 느껴지는 블렌딩 음료
29,2,자몽 에이드,4500,자몽 과육과 탄산이 만나 청량감이 가득한 음료
30,2,레몬 에이드,4500,레몬 과육과 탄산이 만나 청량감이 가득한 음료
31,3,페퍼민트 티,3500,시원한 페퍼민트 향을 담은 허브티
32,3,캐모마일 티,3500,향기로운 국화향을 담은 허브티
33,3,잉글리시 블랙퍼스트,3500,진한 향과 카페인으로 아침에 마시는 홍차
34,3,얼그레이 티,3500,베르가못 향을 담은 홍차
35,3,복숭아 아이스티,4000,홍차에 복숭아의 달콤함을 더한 아이스티
36,3,자몽티,5000,자몽청이 들어가 달콤 쌉쌀함이 가득한 과일 티
37,3,레몬티,5000,레몬청이 들어가 달콤 상콤함이 가득한 과일 티
38,3,유자티,5000,유자청이 들어가 상콤 쌉쌀함이 가득한 과일 티
39,4,딸기 요거트 스무디,5300,딸기와 새콤달콤한 요거트가 어우러진 블렌딩 음료
40,4,망고 요거트 스무디,5300,망고와 새콤달콤한 요거트가 어우러진 블렌딩 음료
41,4,블루베리 요거트 스무디,5300,블루베리와 새콤달콤한 요거트가 어우러진 블렌딩 음료
42,4,플레인 요거트 스무디,5000,새콤달콤한 요거트의 향과 맛이 느껴지는 블렌딩 음료
43,5,메이플 크룽지,2500,바삭한 식감과 달콤한 메이플 시럽이 어우러진 크룽지
44,5,시나몬 크룽지,2500,바삭한 식감과 시나몬 향이 어우러진 크룽지
45,5,초코 와플,5000,바삭한 와플에 초콜릿과 쿠키 크럼을 토핑
46,5,카라멜 와플,5000,바삭한 와플에 카라멜과 시나몬 파우더를 토핑
47,5,생크림 카스테라,5500,촉촉한 카스테라 안에 생크림이 듬뿍 들어간 디저트
48,5,레드벨벳 케이크,4500,진한 치즈 향이 가득한 레드벨벳 시트 케이크
49,5,바닐라 마카롱,2800,바닐라 향이 담긴 마카롱
50,5,초콜릿 마카롱,2800,초콜릿 향이 담긴 마카롱
